state_code,state,year,population
AL,Alabama,1900,1830000
AL,Alabama,1901,1907000
AL,Alabama,1902,1935000
AL,Alabama,1903,1957000
AL,Alabama,1904,1978000
AL,Alabama,1905,2012000
AL,Alabama,1906,2045000
AL,Alabama,1907,2058000
AL,Alabama,1908,2070000
AL,Alabama,1909,2108000
AL,Alabama,1910,2150000
AL,Alabama,1911,2185000
AL,Alabama,1912,2217000
AL,Alabama,1913,2279000
AL,Alabama,1914,2336000
AL,Alabama,1915,2345000
AL,Alabama,1916,2359000
AL,Alabama,1917,2361000
AL,Alabama,1918,2343000
AL,Alabama,1919,2337000
AL,Alabama,1920,2359000
AL,Alabama,1921,2402000
AL,Alabama,1922,2434000
AL,Alabama,1923,2464000
AL,Alabama,1924,2501000
AL,Alabama,1925,2534000
AL,Alabama,1926,2567000
AL,Alabama,1927,2609000
AL,Alabama,1928,2640000
AL,Alabama,1929,2644000
AL,Alabama,1930,2647000
AL,Alabama,1931,2649000
AL,Alabama,1932,2653000
AL,Alabama,1933,2661000
AL,Alabama,1934,2685000
AL,Alabama,1935,2719000
AL,Alabama,1936,2743000
AL,Alabama,1937,2762000
AL,Alabama,1938,2787000
AL,Alabama,1939,2814000
AL,Alabama,1940,2845000
AL,Alabama,1941,2902000
AL,Alabama,1942,2941000
AL,Alabama,1943,2902000
AL,Alabama,1944,2802000
AL,Alabama,1945,2775000
AL,Alabama,1946,2911000
AL,Alabama,1947,2942000
AL,Alabama,1948,2969000
AL,Alabama,1949,3000000
AL,Alabama,1950,3058000
AL,Alabama,1951,3059000
AL,Alabama,1952,3068000
AL,Alabama,1953,3053000
AL,Alabama,1954,3014000
AL,Alabama,1955,3050000
AL,Alabama,1956,3071000
AL,Alabama,1957,3109000
AL,Alabama,1958,3163000
AL,Alabama,1959,3204000
AL,Alabama,1960,3274000
AL,Alabama,1961,3316000
AL,Alabama,1962,3323000
AL,Alabama,1963,3358000
AL,Alabama,1964,3395000
AL,Alabama,1965,3443000
AL,Alabama,1966,3464000
AL,Alabama,1967,3458000
AL,Alabama,1968,3446000
AL,Alabama,1969,3440000
AL,Alabama,1970,3444354
AL,Alabama,1971,3497076
AL,Alabama,1972,3539400
AL,Alabama,1973,3579780
AL,Alabama,1974,3626499
AL,Alabama,1975,3678814
AL,Alabama,1976,3735139
AL,Alabama,1977,3780403
AL,Alabama,1978,3831836
AL,Alabama,1979,3866248
AL,Alabama,1980,3893888
AL,Alabama,1981,3918531
AL,Alabama,1982,3925266
AL,Alabama,1983,3934102
AL,Alabama,1984,3951820
AL,Alabama,1985,3972523
AL,Alabama,1986,3991569
AL,Alabama,1987,4015264
AL,Alabama,1988,4023844
AL,Alabama,1989,4030222
AL,Alabama,1990,4050055
AL,Alabama,1991,4099156
AL,Alabama,1992,4154014
AL,Alabama,1993,4214202
AL,Alabama,1994,4260229
AL,Alabama,1995,4296800
AL,Alabama,1996,4331102
AL,Alabama,1997,4367935
AL,Alabama,1998,4404701
AL,Alabama,1999,4430141
AL,Alabama,2000,4452173
AL,Alabama,2001,4467634
AL,Alabama,2002,4480089
AL,Alabama,2003,4503491
AL,Alabama,2004,4530729
AL,Alabama,2005,4569805
AL,Alabama,2006,4628981
AL,Alabama,2007,4672840
AL,Alabama,2008,4718206
AL,Alabama,2009,4757938
AL,Alabama,2010,4785437
AL,Alabama,2011,4799069
AL,Alabama,2012,4815588
AL,Alabama,2013,4830081
AL,Alabama,2014,4841799
AL,Alabama,2015,4852347
AL,Alabama,2016,4863525
AL,Alabama,2017,4874486
AL,Alabama,2018,4887681
AL,Alabama,2019,4903185
AK,Alaska,1900,0
AK,Alaska,1901,0
AK,Alaska,1902,0
AK,Alaska,1903,0
AK,Alaska,1904,0
AK,Alaska,1905,0
AK,Alaska,1906,0
AK,Alaska,1907,0
AK,Alaska,1908,0
AK,Alaska,1909,0
AK,Alaska,1910,0
AK,Alaska,1911,0
AK,Alaska,1912,0
AK,Alaska,1913,0
AK,Alaska,1914,0
